GrLivArea,BedroomAbvGr,FullBath
2291,4,2
1571,3,2
1387,3,2
2372,4,2
2020,3,2
3493,3,3
1560,3,2
1258,2,1
1511,3,2
1728,4,2
913,3,1
1588,4,2
1601,3,2
1876,4,2
1811,2,1
1552,3,2
2259,3,2
2069,4,2
1557,2,2
1651,3,2
789,2,1
986,2,1
924,2,1
1894,4,2
747,1,1
1734,3,1
1855,3,2
720,2,1
1432,2,1
1228,3,1
1509,3,2
1212,3,2
2110,3,2
960,0,0
1733,4,2
1654,3,2
1505,2,1
1274,3,2
1224,2,0
1526,4,1
768,2,1
2094,4,2
1684,2,2
1065,3,1
1452,2,2
1096,2,1
1574,3,2
1658,3,2
1922,4,3
1928,5,2
1824,4,2
1456,3,2
2007,3,2
1850,3,2
968,2,1
936,2,1
672,2,1
904,1,0
1120,3,1
1204,2,2
1576,3,1
892,3,1
1478,3,2
1828,3,2
1188,3,1
864,3,1
2183,4,2
1200,2,2
2110,3,2
886,2,1
1229,3,1
1776,4,2
2358,5,3
2822,4,3
1416,3,2
2358,4,2
1073,3,1
2622,3,2
1360,3,1
2448,4,2
869,2,1
2036,3,2
936,2,1
1844,3,2
1630,3,2
1610,3,2
2138,2,2
1768,3,2
2192,4,2
1848,4,1
1950,3,2
1779,3,1
1306,2,1
2380,3,2
1856,1,1
858,3,1
1346,2,1
616,2,1
958,2,2
1389,2,1
2263,3,2
2713,3,2
1913,3,1
1604,3,2
1167,3,2
1382,2,1
1768,3,1
1936,3,2
1482,4,2
864,2,1
1962,3,2
864,3,1
1364,2,2
1440,4,2
2614,4,2
3447,4,3
1092,3,1
3086,3,3
720,2,1
1121,2,2
1131,2,1
1034,3,1
1422,3,2
1762,4,1
2256,4,2
1040,3,1
2035,3,2
1416,3,2
1468,3,2
1152,3,1
1283,3,1
1716,3,1
988,3,1
1964,4,1
1096,3,1
1784,4,1
1221,2,2
1053,3,1
1048,2,1
1629,3,2
2978,5,2
1970,3,2
864,3,1
1601,3,2
1682,3,2
1414,2,2
1072,2,1
954,3,1
1118,2,1
1660,3,2
